SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME,lat,long
00000526R,"329 MAIN STREET, MIDDLETOWN, CT",329 MAIN STREET,MIDDLETOWN,329 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5607224,-72.6503507
00000536R,"124 CHURCH STREET, MIDDLETOWN, CT",124 CHURCH STREET,MIDDLETOWN,124 CHURCH STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5551443,-72.652473
00000566R,"166 LIBERTY STREET, MIDDLETOWN, CT",166 LIBERTY STREET,MIDDLETOWN,166 LIBERTY STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5623065,-72.6587765
00000577R,"103 SOUTH MAIN STREET, MIDDLETOWN, CT",103 SOUTH MAIN STREET,MIDDLETOWN,103 SOUTH MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.553302,-72.6496363
00000588R,"54 SPRING STREET, MIDDLETOWN, CT",54 SPRING STREET,MIDDLETOWN,54 SPRING STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.566454,-72.6558619
00000592R,"22 GREEN STREET, MIDDLETOWN, CT",22 GREEN STREET,MIDDLETOWN,22 GREEN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5651897,-72.6501302
00000624I,"118 PROSPECT STREET, MIDDLETOWN, CT",118 PROSPECT STREET,MIDDLETOWN,118 PROSPECT STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5634984,-72.6598499
00000631R,"102 HIGHLAND AVENUE, MIDDLETOWN, CT",102 HIGHLAND AVENUE,MIDDLETOWN,102 HIGHLAND AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5436611,-72.6555755
00000633R,"22 WARWICK STREET, MIDDLETOWN, CT",22 WARWICK STREET,MIDDLETOWN,22 WARWICK STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5498343,-72.6511166
00000637R,"15 MILLER STREET, MIDDLETOWN, CT",15 MILLER STREET,MIDDLETOWN,15 MILLER STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5690801,-72.6523323
00000656R,"27 PLEASANT STREET, MIDDLETOWN, CT",27 PLEASANT STREET,MIDDLETOWN,27 PLEASANT STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5558688,-72.6480631
00000664R,"238 COURT STREET, MIDDLETOWN, CT",238 COURT STREET,MIDDLETOWN,238 COURT STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.559519,-72.6528713
00000674R,"51 BROAD STREET, MIDDLETOWN, CT",51 BROAD STREET,MIDDLETOWN,51 BROAD STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5576754,-72.6508501
00000680R,"30 WEST STREET, MIDDLETOWN, CT",30 WEST STREET,MIDDLETOWN,30 WEST STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5507468,-72.6715989
00000683R,"351 BUTTERNUT STREET, MIDDLETOWN, CT",351 BUTTERNUT STREET,MIDDLETOWN,351 BUTTERNUT STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5504892,-72.6709177
00000775R,"84 GRAND STREET, MIDDLETOWN, CT",84 GRAND STREET,MIDDLETOWN,84 GRAND STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5640845,-72.6562082
00000783R,"50 GRAND STREET, MIDDLETOWN, CT",50 GRAND STREET,MIDDLETOWN,50 GRAND STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5644843,-72.6547072
00000799C,"472 MAIN STREET, MIDDLETOWN, CT",472 MAIN STREET,MIDDLETOWN,472 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5626963,-72.6508174
00000834R,"168 SOUTH MAIN STREET, MIDDLETOWN, CT",168 SOUTH MAIN STREET,MIDDLETOWN,168 SOUTH MAIN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5515751,-72.6492589
00000835R,"26 WARWICK STREET, MIDDLETOWN, CT",26 WARWICK STREET,MIDDLETOWN,26 WARWICK STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5497647,-72.6513138
00000845R,"344 MAIN STREET, MIDDLETOWN, CT",344 MAIN STREET,MIDDLETOWN,344 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.56113,-72.6497823
00000849R,"90 NORTH MAIN STREET, MIDDLETOWN, CT",90 NORTH MAIN STREET,MIDDLETOWN,90 NORTH MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.569355,-72.654889
00000855R,"32 EVERGREEN AVENUE, MIDDLETOWN, CT",32 EVERGREEN AVENUE,MIDDLETOWN,32 EVERGREEN AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.549999,-72.6360689
00000960R,"170 COLLEGE STREET, MIDDLETOWN, CT",170 COLLEGE STREET,MIDDLETOWN,170 COLLEGE STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5581838,-72.6522055
00000961R,"12 PEARL STREET, MIDDLETOWN, CT",12 PEARL STREET,MIDDLETOWN,12 PEARL STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5584031,-72.6523307
00000964R,"271 COURT STREET, MIDDLETOWN, CT",271 COURT STREET,MIDDLETOWN,271 COURT STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5586355,-72.6541898
00000979R,"176 PEARL STREET, MIDDLETOWN, CT",176 PEARL STREET,MIDDLETOWN,176 PEARL STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5634523,-72.6551579
00000984R,"7 SPRING STREET, MIDDLETOWN, CT",7 SPRING STREET,MIDDLETOWN,7 SPRING STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5660739,-72.6537841
00000989R,"259 PEARL STREET, MIDDLETOWN, CT",259 PEARL STREET,MIDDLETOWN,259 PEARL STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5658327,-72.6567344
00000995R,"26 HUNTING HILL AVENUE, MIDDLETOWN, CT",26 HUNTING HILL AVENUE,MIDDLETOWN,26 HUNTING HILL AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5490371,-72.6492858
00001030R,"769 SOUTH MAIN STREET, MIDDLETOWN, CT",769 SOUTH MAIN STREET,MIDDLETOWN,769 SOUTH MAIN STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5360805,-72.6557716
00001040R,"153 LINCOLN STREET, MIDDLETOWN, CT",153 LINCOLN STREET,MIDDLETOWN,153 LINCOLN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5612482,-72.6578115
00001049R,"156 HIGHLAND AVENUE, MIDDLETOWN, CT",156 HIGHLAND AVENUE,MIDDLETOWN,156 HIGHLAND AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5471106,-72.6535535
00001069R,"90 WOODWARD AVENUE, MIDDLETOWN, CT",90 WOODWARD AVENUE,MIDDLETOWN,90 WOODWARD AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5627361,-72.6585696
00001084R,"46 GREEN STREET, MIDDLETOWN, CT",46 GREEN STREET,MIDDLETOWN,46 GREEN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5649401,-72.650988
00001090R,"3 FLOWER STREET, MIDDLETOWN, CT",3 FLOWER STREET,MIDDLETOWN,3 FLOWER STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5538649,-72.6436369
00001091R,"86 LINCOLN STREET, MIDDLETOWN, CT",86 LINCOLN STREET,MIDDLETOWN,86 LINCOLN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5624513,-72.6552355
00001104R,"180 LIBERTY STREET, MIDDLETOWN, CT",180 LIBERTY STREET,MIDDLETOWN,180 LIBERTY STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5621449,-72.6592194
00001131R,"642 MAIN STREET, MIDDLETOWN, CT",642 MAIN STREET,MIDDLETOWN,642 MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5648408,-72.6519429
00001153R,"32 FAIRVIEW AVENUE, MIDDLETOWN, CT",32 FAIRVIEW AVENUE,MIDDLETOWN,32 FAIRVIEW AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5524048,-72.6638962
00001184R,"80 PEARL STREET, MIDDLETOWN, CT",80 PEARL STREET,MIDDLETOWN,80 PEARL STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5604837,-72.6536474
00001196R,"32 NEWTOWN STREET, MIDDLETOWN, CT",32 NEWTOWN STREET,MIDDLETOWN,32 NEWTOWN STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5381799,-72.643739
00001200R,"18 WARWICK STREET, MIDDLETOWN, CT",18 WARWICK STREET,MIDDLETOWN,18 WARWICK STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5499286,-72.6509624
00001201R,"95 LINCOLN STREET, MIDDLETOWN, CT",95 LINCOLN STREET,MIDDLETOWN,95 LINCOLN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5620077,-72.6553859
00001205R,"67 HIGHLAND AVENUE, MIDDLETOWN, CT",67 HIGHLAND AVENUE,MIDDLETOWN,67 HIGHLAND AVENUE MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5412909,-72.6563554
00001210R,"19 GOODYEAR AVENUE, MIDDLETOWN, CT",19 GOODYEAR AVENUE,MIDDLETOWN,19 GOODYEAR AVENUE MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5530065,-72.6513802
00001220R,"6 LOVELAND STREET, MIDDLETOWN, CT",6 LOVELAND STREET,MIDDLETOWN,6 LOVELAND STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5528682,-72.6498825
00001225R,"444 HIGH STREET, MIDDLETOWN, CT",444 HIGH STREET,MIDDLETOWN,444 HIGH STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5631635,-72.6567341
00001259R,"28 DURANT TERRACE, MIDDLETOWN, CT",28 DURANT TERRACE,MIDDLETOWN,28 DURANT TERRACE MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5454833,-72.6493786
00001299R,"608 HIGH STREET, MIDDLETOWN, CT",608 HIGH STREET,MIDDLETOWN,608 HIGH STREET MIDDLETOWN CT,CT,Lead,SF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5684842,-72.6585604
00001304R,"137 SOUTH MAIN STREET, MIDDLETOWN, CT",137 SOUTH MAIN STREET,MIDDLETOWN,137 SOUTH MAIN STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5524512,-72.6498058
00001326R,"183 EAST MAIN STREET, MIDDLETOWN, CT",183 EAST MAIN STREET,MIDDLETOWN,183 EAST MAIN STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5511677,-72.6415936
00001335R,"498 HIGH STREET, MIDDLETOWN, CT",498 HIGH STREET,MIDDLETOWN,498 HIGH STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5648806,-72.6576114
00001336R,"491 HIGH STREET, MIDDLETOWN, CT",491 HIGH STREET,MIDDLETOWN,491 HIGH STREET MIDDLETOWN CT,CT,Lead,NONRES,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.5645183,-72.6579559
00001341R,"46 WARWICK STREET, MIDDLETOWN, CT",46 WARWICK STREET,MIDDLETOWN,46 WARWICK STREET MIDDLETOWN CT,CT,Lead,MF,2024-10-16_CT0830011 Middletown_LCRR_Material_Inventory.xlsx,NA,NA,CT0830011,TRUE,CT0830011,Middletown Water Department,41.549432,-72.6520641
