SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,SOURCE FILE,STREET NUMBER,STREET NAME,extracted_pswid,is_match,PWSID,SYSTEM NAME
700153492.0,392 E PUTNAM AVE,392 E PUTNAM AVE,COS COB,392 E PUTNAM AVE COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154508.0,220 E PUTNAM AVE,220 E PUTNAM AVE,COS COB,220 E PUTNAM AVE COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154543.0,84-86 EAST PUTNAM AVE,84-86 EAST PUTNAM AVE,COS COB,84-86 EAST PUTNAM AVE COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154544.0,80 E PUTNAM AVE,80 E PUTNAM AVE,COS COB,80 E PUTNAM AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154562.0,6 FIELD RD,6 FIELD RD,COS COB,6 FIELD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154574.0,6 VALLEYWOOD RD,6 VALLEYWOOD RD,COS COB,6 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154584.0,12 OLD POST RD,12 OLD POST RD,COS COB,12 OLD POST RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154757.0,17 CROSS LN,17 CROSS LN,COS COB,17 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154785.0,25 CROSS LN,25 CROSS LN,COS COB,25 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154791.0,27 CROSS LN,27 CROSS LN,COS COB,27 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154827.0,39 CROSS LN,39 CROSS LN,COS COB,39 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156257.0,46 CROSS LN,46 CROSS LN,COS COB,46 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156269.0,22 CROSS LN,22 CROSS LN,COS COB,22 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156282.0,18 CROSS LN,18 CROSS LN,COS COB,18 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156296.0,14 CROSS LN,14 CROSS LN,COS COB,14 CROSS LN COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156328.0,133 E PUTNAM AVE,133 E PUTNAM AVE,COS COB,133 E PUTNAM AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156334.0,121 E PUTNAM AVE,121 E PUTNAM AVE,COS COB,121 E PUTNAM AVE COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156363.0,13 STRICKLAND RD,13 STRICKLAND RD,COS COB,13 STRICKLAND RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156401.0,55 LOUGHLIN AVE,55 LOUGHLIN AVE,COS COB,55 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156405.0,59 LOUGHLIN AVE,59 LOUGHLIN AVE,COS COB,59 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156411.0,61 LOUGHLIN AVE,61 LOUGHLIN AVE,COS COB,61 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156416.0,63 LOUGHLIN AVE,63 LOUGHLIN AVE,COS COB,63 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700156447.0,73 LOUGHLIN AVE,73 LOUGHLIN AVE,COS COB,73 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157503.0,70 LOUGHLIN AVE,70 LOUGHLIN AVE,COS COB,70 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157516.0,66 LOUGHLIN AVE,66 LOUGHLIN AVE,COS COB,66 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157522.0,64 LOUGHLIN AVE,64 LOUGHLIN AVE,COS COB,64 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157552.0,52 LOUGHLIN AVE,52 LOUGHLIN AVE,COS COB,52 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157558.0,50 LOUGHLIN AVE,50 LOUGHLIN AVE,COS COB,50 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157574.0,42 LOUGHLIN AVE,42 LOUGHLIN AVE,COS COB,42 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157582.0,38 LOUGHLIN AVE,38 LOUGHLIN AVE,COS COB,38 LOUGHLIN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157637.0,29 BUTLER ST,29 BUTLER ST,COS COB,29 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157648.0,35 BUTLER ST,35 BUTLER ST,COS COB,35 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157662.0,43 BUTLER ST,43 BUTLER ST,COS COB,43 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157687.0,42 BUTLER ST,42 BUTLER ST,COS COB,42 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157697.0,38 BUTLER ST,38 BUTLER ST,COS COB,38 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157710.0,34 BUTLER ST,34 BUTLER ST,COS COB,34 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157720.0,28A BUTLER ST,28A BUTLER ST,COS COB,28A BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157725.0,30 BUTLER ST,30 BUTLER ST,COS COB,30 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157730.0,28 BUTLER ST,28 BUTLER ST,COS COB,28 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157762.0,20 BUTLER ST,20 BUTLER ST,COS COB,20 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157770.0,12 BUTLER ST,12 BUTLER ST,COS COB,12 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157774.0,10 BUTLER ST,10 BUTLER ST,COS COB,10 BUTLER ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700157959.0,37 STRICKLAND RD,37 STRICKLAND RD,COS COB,37 STRICKLAND RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159001.0,79 STRICKLAND RD,79 STRICKLAND RD,COS COB,79 STRICKLAND RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159217.0,40 STRICKLAND RD,40 STRICKLAND RD,COS COB,40 STRICKLAND RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159224.0,38 STRICKLAND RD,38 STRICKLAND RD,COS COB,38 STRICKLAND RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159372.0,10 RELAY PL,10 RELAY PL,COS COB,10 RELAY PL COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159453.0,239 E PUTNAM AVE,239 E PUTNAM AVE,COS COB,239 E PUTNAM AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159465.0,253 PUTNAM AVE E,253 PUTNAM AVE E,COS COB,253 PUTNAM AVE E COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700159471.0,257 PUTNAM AVE E,257 PUTNAM AVE E,COS COB,257 PUTNAM AVE E COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161119.0,35 MEAD AVE,35 MEAD AVE,COS COB,35 MEAD AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700154972.0,234 PUTNAM AVE E,234 PUTNAM AVE E,COS COB,234 PUTNAM AVE E COS COB CT,CT,Lead,NONRES,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161894.0,80 VALLEYWOOD RD,80 VALLEYWOOD RD,COS COB,80 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161899.0,78 VALLEYWOOD RD,78 VALLEYWOOD RD,COS COB,78 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161904.0,76 VALLEYWOOD RD,76 VALLEYWOOD RD,COS COB,76 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161919.0,70 VALLEYWOOD RD,70 VALLEYWOOD RD,COS COB,70 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161929.0,66 VALLEYWOOD RD,66 VALLEYWOOD RD,COS COB,66 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700161941.0,62 VALLEYWOOD RD,62 VALLEYWOOD RD,COS COB,62 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700162029.0,34 VALLEYWOOD RD,34 VALLEYWOOD RD,COS COB,34 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700162055.0,28 VALLEYWOOD RD,28 VALLEYWOOD RD,COS COB,28 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700162077.0,22 VALLEYWOOD RD,22 VALLEYWOOD RD,COS COB,22 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163482.0,9 JACKSON ST,9 JACKSON ST,COS COB,9 JACKSON ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163515.0,71 VALLEYWOOD RD,71 VALLEYWOOD RD,COS COB,71 VALLEYWOOD RD COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163524.0,73 VALLEYWOOD RD,73 VALLEYWOOD RD,COS COB,73 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163540.0,75 VALLEYWOOD RD,75 VALLEYWOOD RD,COS COB,75 VALLEYWOOD RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163668.0,84 ORCHARD ST,84 ORCHARD ST,COS COB,84 ORCHARD ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163721.0,76 ORCHARD ST,76 ORCHARD ST,COS COB,76 ORCHARD ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163768.0,76 SINAWOY RD,76 SINAWOY RD,COS COB,76 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163846.0,62 SINAWOY RD,62 SINAWOY RD,COS COB,62 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163871.0,58 SINAWOY RD,58 SINAWOY RD,COS COB,58 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163886.0,56 SINAWOY RD,56 SINAWOY RD,COS COB,56 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163956.0,46 SINAWOY RD,46 SINAWOY RD,COS COB,46 SINAWOY RD COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700163979.0,42 SINAWOY RD,42 SINAWOY RD,COS COB,42 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700164551.0,32 SINAWOY RD,32 SINAWOY RD,COS COB,32 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700164578.0,28 SINAWOY RD,28 SINAWOY RD,COS COB,28 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700164621.0,22 SINAWOY RD,22 SINAWOY RD,COS COB,22 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700164693.0,14 SINAWOY RD,14 SINAWOY RD,COS COB,14 SINAWOY RD COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165035.0,21 SUBURBAN AVE,21 SUBURBAN AVE,COS COB,21 SUBURBAN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165102.0,27 SUBURBAN AVE,27 SUBURBAN AVE,COS COB,27 SUBURBAN AVE COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165114.0,19 TREMONT ST,19 TREMONT ST,COS COB,19 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165121.0,23 TREMONT ST,23 TREMONT ST,COS COB,23 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165127.0,25 TREMONT ST,25 TREMONT ST,COS COB,25 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165149.0,22 TREMONT ST,22 TREMONT ST,COS COB,22 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165154.0,20 TREMONT ST,20 TREMONT ST,COS COB,20 TREMONT ST COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165160.0,18 TREMONT ST,18 TREMONT ST,COS COB,18 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165165.0,16 TREMONT ST,16 TREMONT ST,COS COB,16 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165175.0,12 TREMONT ST,12 TREMONT ST,COS COB,12 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165180.0,10 TREMONT ST,10 TREMONT ST,COS COB,10 TREMONT ST COS COB CT,CT,Lead,MF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
700165190.0,8 TREMONT ST,8 TREMONT ST,COS COB,8 TREMONT ST COS COB CT,CT,Lead,SF,CT0570011_LCRR_Inventory_Initial_10.16.24.xlsx,,,CT0570011,TRUE,CT0570011,Aquarion Water Co of CT-Greenwich
