SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,BUILDING TYPE,PWSID,SYSTEM NAME
700023151.0,2134 SEAVIEW AVE,2134 SEAVIEW AVE,BRIDGEPORT,2134 SEAVIEW AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023180.0,441 BISHOP AVE,441 BISHOP AVE,BRIDGEPORT,441 BISHOP AVE BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700023199.0,82 WHITE ST,82 WHITE ST,BRIDGEPORT,82 WHITE ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023229.0,591 BISHOP AVE,591 BISHOP AVE,BRIDGEPORT,591 BISHOP AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023239.0,88 SHERIDAN ST,88 SHERIDAN ST,BRIDGEPORT,88 SHERIDAN ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023240.0,595 BISHOP AVE,595 BISHOP AVE,BRIDGEPORT,595 BISHOP AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023266.0,615 BISHOP AVE,615 BISHOP AVE,BRIDGEPORT,615 BISHOP AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023313.0,258 SHERIDAN ST,258 SHERIDAN ST,BRIDGEPORT,258 SHERIDAN ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023314.0,262 SHERIDAN ST,262 SHERIDAN ST,BRIDGEPORT,262 SHERIDAN ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023329.0,67 MEAD ST,67 MEAD ST,BRIDGEPORT,67 MEAD ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023337.0,1078-1080 OGDEN STREET EXT,1078-1080 OGDEN STREET EXT,BRIDGEPORT,1078-1080 OGDEN STREET EXT BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700023339.0,1090 OGDEN STREET EXT,1090 OGDEN STREET EXT,BRIDGEPORT,1090 OGDEN STREET EXT BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023342.0,1136 OGDEN STREET EXT,1136 OGDEN STREET EXT,BRIDGEPORT,1136 OGDEN STREET EXT BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023355.0,1149 OGDEN STREET EXT,1149 OGDEN STREET EXT,BRIDGEPORT,1149 OGDEN STREET EXT BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023359.0,1145-47 OGDEN STREET EXT,1145-47 OGDEN STREET EXT,BRIDGEPORT,1145-47 OGDEN STREET EXT BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023362.0,17-19 FLORENCE ST,17-19 FLORENCE ST,BRIDGEPORT,17-19 FLORENCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023368.0,1161-1165 OGDEN STREET EXT,1161-1165 OGDEN STREET EXT,BRIDGEPORT,1161-1165 OGDEN STREET EXT BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023370.0,29 FREEMAN ST,29 FREEMAN ST,BRIDGEPORT,29 FREEMAN ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023373.0,1162 OGDEN STREET EXT,1162 OGDEN STREET EXT,BRIDGEPORT,1162 OGDEN STREET EXT BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023374.0,31-33 FREEMAN ST,31-33 FREEMAN ST,BRIDGEPORT,31-33 FREEMAN ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023381.0,1166 OGDEN STREET EXT,1166 OGDEN STREET EXT,BRIDGEPORT,1166 OGDEN STREET EXT BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023386.0,54 FREEMAN ST,54 FREEMAN ST,BRIDGEPORT,54 FREEMAN ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023389.0,11 BELL ST,11 BELL ST,BRIDGEPORT,11 BELL ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023397.0,28 BELL ST,28 BELL ST,BRIDGEPORT,28 BELL ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700023425.0,55-57 WATERMAN ST,55-57 WATERMAN ST,BRIDGEPORT,55-57 WATERMAN ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023428.0,55-57 BELL ST,55-57 BELL ST,BRIDGEPORT,55-57 BELL ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023434.0,66 BELL ST,66 BELL ST,BRIDGEPORT,66 BELL ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700023452.0,81 BELL ST,81 BELL ST,BRIDGEPORT,81 BELL ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024531.0,1549-1551 CENTRAL AVE,1549-1551 CENTRAL AVE,BRIDGEPORT,1549-1551 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024554.0,1685 CENTRAL AVE,1685 CENTRAL AVE,BRIDGEPORT,1685 CENTRAL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024579.0,1717 CENTRAL AVE,1717 CENTRAL AVE,BRIDGEPORT,1717 CENTRAL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024584.0,1739 CENTRAL AVE,1739 CENTRAL AVE,BRIDGEPORT,1739 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024588.0,1743 CENTRAL AVE,1743 CENTRAL AVE,BRIDGEPORT,1743 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024595.0,1761 CENTRAL AVE,1761 CENTRAL AVE,BRIDGEPORT,1761 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024598.0,1765 CENTRAL AVE,1765 CENTRAL AVE,BRIDGEPORT,1765 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024609.0,57-59 ALANSON RD,57-59 ALANSON RD,BRIDGEPORT,57-59 ALANSON RD BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024614.0,1793 CENTRAL AVE,1793 CENTRAL AVE,BRIDGEPORT,1793 CENTRAL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024623.0,1845 CENTRAL AVE,1845 CENTRAL AVE,BRIDGEPORT,1845 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024631.0,1867 CENTRAL AVE,1867 CENTRAL AVE,BRIDGEPORT,1867 CENTRAL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024655.0,35 FORD PL,35 FORD PL,BRIDGEPORT,35 FORD PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024668.0,60-62 FORD PL,60-62 FORD PL,BRIDGEPORT,60-62 FORD PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024672.0,68-70 FORD PL,68-70 FORD PL,BRIDGEPORT,68-70 FORD PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024675.0,2-4 MILL HILL AVE,2-4 MILL HILL AVE,BRIDGEPORT,2-4 MILL HILL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024699.0,49 MILL HILL AVE,49 MILL HILL AVE,BRIDGEPORT,49 MILL HILL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024774.0,410 MILL HILL AVE,410 MILL HILL AVE,BRIDGEPORT,410 MILL HILL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024789.0,430 MILL HILL AVE,430 MILL HILL AVE,BRIDGEPORT,430 MILL HILL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024797.0,440 MILL HILL AVE,440 MILL HILL AVE,BRIDGEPORT,440 MILL HILL AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024800.0,457 MILL HILL AVE,457 MILL HILL AVE,BRIDGEPORT,457 MILL HILL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024836.0,220 RIDGEFIELD AVE,220 RIDGEFIELD AVE,BRIDGEPORT,220 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024918.0,343-345 RIDGEFIELD AVE,343-345 RIDGEFIELD AVE,BRIDGEPORT,343-345 RIDGEFIELD AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024930.0,361 RIDGEFIELD AVE,361 RIDGEFIELD AVE,BRIDGEPORT,361 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024947.0,394-396 RIDGEFIELD AVE,394-396 RIDGEFIELD AVE,BRIDGEPORT,394-396 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024951.0,404-406 RIDGEFIELD AVE,404-406 RIDGEFIELD AVE,BRIDGEPORT,404-406 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024955.0,413-417 RIDGEFIELD AVE,413-417 RIDGEFIELD AVE,BRIDGEPORT,413-417 RIDGEFIELD AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700024959.0,414-16 RIDGEFIELD AVE,414-16 RIDGEFIELD AVE,BRIDGEPORT,414-16 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700024967.0,424-426 RIDGEFIELD AVE,424-426 RIDGEFIELD AVE,BRIDGEPORT,424-426 RIDGEFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026057.0,1819 CENTRAL AVE,1819 CENTRAL AVE,BRIDGEPORT,1819 CENTRAL AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026065.0,1116 OGDEN STREET EXT,1116 OGDEN STREET EXT,BRIDGEPORT,1116 OGDEN STREET EXT BRIDGEPORT CT,CT,NONRES,CT0150011,Aquarion Water Co of CT-Main System
700026135.0,47 N BISHOP AVE,47 N BISHOP AVE,BRIDGEPORT,47 N BISHOP AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700026137.0,403 RIDGEFIELD AVE,403 RIDGEFIELD AVE,BRIDGEPORT,403 RIDGEFIELD AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700026248.0,246 JUDSON PL,246 JUDSON PL,BRIDGEPORT,246 JUDSON PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700026251.0,253-255 JUDSON PL,253-255 JUDSON PL,BRIDGEPORT,253-255 JUDSON PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026255.0,263 JUDSON PL,263 JUDSON PL,BRIDGEPORT,263 JUDSON PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026261.0,273 JUDSON PL,273 JUDSON PL,BRIDGEPORT,273 JUDSON PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700026264.0,283-85 JUDSON PL,283-85 JUDSON PL,BRIDGEPORT,283-85 JUDSON PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026274.0,293 JUDSON PL,293 JUDSON PL,BRIDGEPORT,293 JUDSON PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026278.0,303-305 JUDSON PL,303-305 JUDSON PL,BRIDGEPORT,303-305 JUDSON PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026363.0,267 SUMMERFIELD AVE,267 SUMMERFIELD AVE,BRIDGEPORT,267 SUMMERFIELD AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700026393.0,329-331 SUMMERFIELD AVE,329-331 SUMMERFIELD AVE,BRIDGEPORT,329-331 SUMMERFIELD AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026408.0,50-52 PRINCE ST,50-52 PRINCE ST,BRIDGEPORT,50-52 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026420.0,83 PRINCE ST,83 PRINCE ST,BRIDGEPORT,83 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026424.0,84-86 PRINCE ST,84-86 PRINCE ST,BRIDGEPORT,84-86 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026436.0,100 PRINCE ST,100 PRINCE ST,BRIDGEPORT,100 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026440.0,101-103 PRINCE ST,101-103 PRINCE ST,BRIDGEPORT,101-103 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026448.0,111 PRINCE ST,111 PRINCE ST,BRIDGEPORT,111 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700026452.0,122 PRINCE ST,122 PRINCE ST,BRIDGEPORT,122 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027561.0,265 PRINCE ST,265 PRINCE ST,BRIDGEPORT,265 PRINCE ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027569.0,30 PIXLEE PL,30 PIXLEE PL,BRIDGEPORT,30 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027603.0,73 PIXLEE PL,73 PIXLEE PL,BRIDGEPORT,73 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027621.0,94-96 PIXLEE PL,94-96 PIXLEE PL,BRIDGEPORT,94-96 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027627.0,97-99 PIXLEE PL,97-99 PIXLEE PL,BRIDGEPORT,97-99 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027636.0,109-111 PIXLEE PL,109-111 PIXLEE PL,BRIDGEPORT,109-111 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027650.0,141-143 PIXLEE PL,141-143 PIXLEE PL,BRIDGEPORT,141-143 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027663.0,157 PIXLEE PL,157 PIXLEE PL,BRIDGEPORT,157 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027686.0,197 PIXLEE PL,197 PIXLEE PL,BRIDGEPORT,197 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027694.0,213 PIXLEE PL,213 PIXLEE PL,BRIDGEPORT,213 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027712.0,246-250 PIXLEE PL,246-250 PIXLEE PL,BRIDGEPORT,246-250 PIXLEE PL BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027748.0,318 PIXLEE PL,318 PIXLEE PL,BRIDGEPORT,318 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027760.0,23 WILLOW ST,23 WILLOW ST,BRIDGEPORT,23 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027764.0,24 WILLOW ST,24 WILLOW ST,BRIDGEPORT,24 WILLOW ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700027796.0,66 WILLOW ST,66 WILLOW ST,BRIDGEPORT,66 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027822.0,197 WILLOW ST,197 WILLOW ST,BRIDGEPORT,197 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027867.0,248 WILLOW ST,248 WILLOW ST,BRIDGEPORT,248 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027874.0,250 WILLOW ST,250 WILLOW ST,BRIDGEPORT,250 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027881.0,259 WILLOW ST,259 WILLOW ST,BRIDGEPORT,259 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027931.0,289 WILLOW ST,289 WILLOW ST,BRIDGEPORT,289 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027974.0,317 WILLOW ST,317 WILLOW ST,BRIDGEPORT,317 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027990.0,327 WILLOW ST,327 WILLOW ST,BRIDGEPORT,327 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700027997.0,329 WILLOW ST,329 WILLOW ST,BRIDGEPORT,329 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029541.0,408 WILLOW ST,408 WILLOW ST,BRIDGEPORT,408 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029547.0,415-417 WILLOW ST,415-417 WILLOW ST,BRIDGEPORT,415-417 WILLOW ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700029554.0,420 WILLOW ST,420 WILLOW ST,BRIDGEPORT,420 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029563.0,439-441 WILLOW ST,439-441 WILLOW ST,BRIDGEPORT,439-441 WILLOW ST BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700029571.0,443 WILLOW ST,443 WILLOW ST,BRIDGEPORT,443 WILLOW ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029607.0,70-72 EAST AVE,70-72 EAST AVE,BRIDGEPORT,70-72 EAST AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700029638.0,112 EAST AVE,112 EAST AVE,BRIDGEPORT,112 EAST AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029654.0,148 EAST AVE,148 EAST AVE,BRIDGEPORT,148 EAST AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700029732.0,299 EAST AVE,299 EAST AVE,BRIDGEPORT,299 EAST AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029739.0,307 EAST AVE,307 EAST AVE,BRIDGEPORT,307 EAST AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700029865.0,1742-1746 BARNUM AVE,1742-1746 BARNUM AVE,BRIDGEPORT,1742-1746 BARNUM AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700029982.0,111 ELIZABETH ST,111 ELIZABETH ST,BRIDGEPORT,111 ELIZABETH ST BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700031017.0,173 PIXLEE PL,173 PIXLEE PL,BRIDGEPORT,173 PIXLEE PL BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700031025.0,278 CONNECTICUT AVE,278 CONNECTICUT AVE,BRIDGEPORT,278 CONNECTICUT AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700031074.0,417-19 CONNECTICUT AVE,417-19 CONNECTICUT AVE,BRIDGEPORT,417-19 CONNECTICUT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
700031106.0,260-62 SUMMERFIELD AVE,260-62 SUMMERFIELD AVE,BRIDGEPORT,260-62 SUMMERFIELD AVE BRIDGEPORT CT,CT,SF,CT0150011,Aquarion Water Co of CT-Main System
700031110.0,456-458 CONNECTICUT AVE,456-458 CONNECTICUT AVE,BRIDGEPORT,456-458 CONNECTICUT AVE BRIDGEPORT CT,CT,MF,CT0150011,Aquarion Water Co of CT-Main System
