SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME
117388,021801860096,116 EASTON AVE,Waterbury,116 EASTON AVE Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
117468,021801860104,963 NORTH MAIN ST,Waterbury,963 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117488,021801860106,975 NORTH MAIN ST,Waterbury,975 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117498,021801860107,981 NORTH MAIN ST,Waterbury,981 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
117868,021801890034,109 EASTON AVE,Waterbury,109 EASTON AVE Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117918,021801900121,958 NORTH MAIN ST,Waterbury,958 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117928,021801900122,954 NORTH MAIN ST,Waterbury,954 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117958,021801900125,920 NORTH MAIN ST,Waterbury,920 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
117968,021801900126,910 NORTH MAIN ST,Waterbury,910 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
117978,021801900127,898 NORTH MAIN ST,Waterbury,898 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
118118,021801910112,1002 NORTH MAIN ST,Waterbury,1002 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
12188,006002540004,2855 NORTH MAIN ST,Waterbury,2855 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
12198,006002540005,2861 NORTH MAIN ST,Waterbury,2861 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
12208,006002540006,2869 NORTH MAIN ST,Waterbury,2869 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
12218,006002540007,2877 NORTH MAIN ST,Waterbury,2877 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
12228,006002540008,2881 NORTH MAIN ST,Waterbury,2881 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
12308,006002540122,2917 NORTH MAIN ST,Waterbury,2917 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
12318,006002540123,2925 NORTH MAIN ST,Waterbury,2925 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
124478,023105260049,131 REVERE ST EXT,Waterbury,131 REVERE ST EXT Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
124518,023105260053,111 REVERE ST,Waterbury,111 REVERE ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
129648,023601651251,549 NORTH MAIN ST,Waterbury,549 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
131008,023601760172,32 HAWKINS ST,Waterbury,32 HAWKINS ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
131028,023601760174,10 - 12 PEARL ST,Waterbury,10 - 12 PEARL ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
131048,023601760176,18 PEARL ST,Waterbury,18 PEARL ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
131058,023601760177,22 PEARL ST,Waterbury,22 PEARL ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
131068,023601760178,28 PEARL ST,Waterbury,28 PEARL ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
131258,023601770171,28 HAWKINS ST,Waterbury,28 HAWKINS ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
140338,025200240002,618 WEST MAIN ST,Waterbury,618 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
140368,027400070001,21 WEST MAIN ST,Waterbury,21 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
140518,025200670009,640 WEST MAIN ST,Waterbury,640 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
141078,025300540073,380 WEST MAIN ST,Waterbury,380 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
141118,025300540077,428 WEST MAIN ST,Waterbury,428 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
141498,025300560096,478 WEST MAIN ST,Waterbury,478 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
141508,025300560097,466 WEST MAIN ST,Waterbury,466 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
141518,025300560098,460 WEST MAIN ST,Waterbury,460 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
141528,025300560099,450 WEST MAIN ST,Waterbury,450 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
141588,025300570094,496 WEST MAIN ST,Waterbury,496 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
141598,025300570095,490 WEST MAIN ST,Waterbury,490 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
142298,025400020531,171 NORTH MAIN ST,Waterbury,171 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
143738,025501640079,24 ADAMS ST,Waterbury,24 ADAMS ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
143928,025501660147,474 NORTH MAIN ST,Waterbury,474 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
143948,025501660149,496 NORTH MAIN ST,Waterbury,496 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
146358,025705530132,71 OAK ST,Waterbury,71 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
147778,025705790133,72 OAK ST,Waterbury,72 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
147788,025705790134,68 OAK ST,Waterbury,68 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
148248,025705790180,76 OAK ST,Waterbury,76 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
148258,025705790181,80 OAK ST,Waterbury,80 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
148268,025705800204,106 OAK ST,Waterbury,106 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148278,025705800205,104 OAK ST,Waterbury,104 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148288,025705800206,102 OAK ST,Waterbury,102 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148308,025705800208,98 OAK ST,Waterbury,98 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148338,025705800211,92 OAK ST,Waterbury,92 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148348,025705800212,90 OAK ST,Waterbury,90 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148358,025705800213,88 OAK ST,Waterbury,88 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
148368,025705800214,86 OAK ST,Waterbury,86 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
149048,025705830280,121 OAK ST,Waterbury,121 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
149058,025705830281,113 OAK ST,Waterbury,113 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
149068,025705830282,101 OAK ST,Waterbury,101 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
149078,025705830283,95 OAK ST,Waterbury,95 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
149138,025705830289,152 BEECH ST,Waterbury,152 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
149158,025705832891,50 ASH ST,Waterbury,50 ASH ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
149968,025805840001,157 BEECH ST,Waterbury,157 BEECH ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
149978,025805840002,151 BEECH ST,Waterbury,151 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
149988,025805840003,139 BEECH ST,Waterbury,139 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
155978,027100250088,990 WEST MAIN ST,Waterbury,990 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
156128,027100260017,1050 WEST MAIN ST,Waterbury,1050 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
157128,027200220023,649 WEST MAIN ST,Waterbury,649 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
157168,027200240012,718 WEST MAIN ST,Waterbury,718 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
157308,027300170038,283 WEST MAIN ST,Waterbury,283 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
157398,027300180031,389 MEADOW ST,Waterbury,389 MEADOW ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
157788,027400020025,95 NORTH MAIN ST,Waterbury,95 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
157818,027400020029,161 NORTH MAIN ST,Waterbury,161 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
157838,027400030010,130 WEST MAIN ST,Waterbury,130 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
158078,027400070061,41 WEST MAIN ST,Waterbury,41 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
158358,027400140048,26 NORTH MAIN ST,Waterbury,26 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
158488,027400150041,99 EAST MAIN ST,Waterbury,99 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
161578,027700960165,224 OAK ST,Waterbury,224 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
161628,027700960170,220 OAK ST,Waterbury,220 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
161658,027700970172,213 OAK ST,Waterbury,213 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
161668,027700970173,209 OAK ST,Waterbury,209 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
16208,006902390003,2840 NORTH MAIN ST,Waterbury,2840 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
16218,006902390004,2834 NORTH MAIN ST,Waterbury,2834 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
16228,006902390005,2828 NORTH MAIN ST,Waterbury,2828 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
16238,006902390006,2822 NORTH MAIN ST,Waterbury,2822 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162428,027705820124,190 OAK ST,Waterbury,190 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162438,027705820125,178 OAK ST,Waterbury,178 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162448,027705820126,170 OAK ST,Waterbury,170 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162458,027705820127,166 OAK ST,Waterbury,166 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162478,027705820129,158 OAK ST,Waterbury,158 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162488,027705820130,154 OAK ST,Waterbury,154 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
16248,006902390007,2812 NORTH MAIN ST,Waterbury,2812 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162498,027705820131,150 OAK ST,Waterbury,150 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162508,027705820132,144 OAK ST,Waterbury,144 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162518,027705820133,138 OAK ST,Waterbury,138 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162538,027705820135,122 OAK ST,Waterbury,122 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162718,027705830138,143 OAK ST,Waterbury,143 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162738,027705830140,151 OAK ST,Waterbury,151 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
162748,027705830141,155 OAK ST,Waterbury,155 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162758,027705830142,161 OAK ST,Waterbury,161 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162788,027705830146,172 BEECH ST,Waterbury,172 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
16278,006902530001,2817 NORTH MAIN ST,Waterbury,2817 NORTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
162798,027705830147,178 BEECH ST,Waterbury,178 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162808,027705830148,184 BEECH ST,Waterbury,184 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
162858,027705831451,156 BEECH ST,Waterbury,156 BEECH ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
163408,027706030162,191 OAK ST,Waterbury,191 OAK ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
163568,027805840014,185 BEECH ST,Waterbury,185 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
163578,027805840015,175 BEECH ST,Waterbury,175 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
163588,027805840016,163 BEECH ST,Waterbury,163 BEECH ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
17478,007509850017,17 ASHFORD ST,Waterbury,17 ASHFORD ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
17488,007509850018,19 ASHFORD ST,Waterbury,19 ASHFORD ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
175198,029000420092,1201 WEST MAIN ST,Waterbury,1201 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
175208,029000420093,1243 WEST MAIN ST,Waterbury,1243 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
175238,029000430076,1157 WEST MAIN ST,Waterbury,1157 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
175248,029000430077,1163 WEST MAIN ST,Waterbury,1163 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
175258,029000430078,1167 WEST MAIN ST,Waterbury,1167 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
175268,029000430079,1171 WEST MAIN ST,Waterbury,1171 WEST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
17548,007509850024,35 HARVARD ST,Waterbury,35 HARVARD ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
177148,029400120103,115 SOUTH MAIN ST,Waterbury,115 SOUTH MAIN ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
177258,039203000001,952 SOUTH MAIN ST,Waterbury,952 SOUTH MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178018,029500130003,122 EAST MAIN ST,Waterbury,122 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
17808,007609850003,67 HARVARD ST,Waterbury,67 HARVARD ST Waterbury Connecticut,Connecticut,Lead,SF,CT1510011,Waterbury Water Department
178118,029500710068,351 EAST MAIN ST,Waterbury,351 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178128,029500710069,337 EAST MAIN ST,Waterbury,337 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178138,029500710070,325 EAST MAIN ST,Waterbury,325 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
178148,029500710071,309 EAST MAIN ST,Waterbury,309 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
178198,029500720062,407 EAST MAIN ST,Waterbury,407 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178208,029500720063,391 EAST MAIN ST,Waterbury,391 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
178218,029500720064,379 EAST MAIN ST,Waterbury,379 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178278,029500730042,290 EAST MAIN ST,Waterbury,290 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178328,029500730421,278 EAST MAIN ST,Waterbury,278 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
178748,029500790601,402 EAST MAIN ST,Waterbury,402 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178768,029600720001,421 EAST MAIN ST,Waterbury,421 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
178788,029600720003,449 EAST MAIN ST,Waterbury,449 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
178938,029600890019,523 EAST MAIN ST,Waterbury,523 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
179178,029600900039,589 EAST MAIN ST,Waterbury,589 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
179188,029600900040,593 EAST MAIN ST,Waterbury,593 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
179208,029600900042,611 EAST MAIN ST,Waterbury,611 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
179418,029600910061,675 EAST MAIN ST,Waterbury,675 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
179428,029600910062,687 EAST MAIN ST,Waterbury,687 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
179438,029600910063,693 EAST MAIN ST,Waterbury,693 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
179738,029600930093,666 EAST MAIN ST,Waterbury,666 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
179748,029600930095,648 EAST MAIN ST,Waterbury,648 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
179758,029600930096,638 EAST MAIN ST,Waterbury,638 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
179778,029600930098,574 EAST MAIN ST,Waterbury,574 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,NONRES,CT1510011,Waterbury Water Department
179788,029600930951,642 EAST MAIN ST,Waterbury,642 EAST MAIN ST Waterbury Connecticut,Connecticut,Lead,O,CT1510011,Waterbury Water Department
180538,029700810141,334 OAK ST,Waterbury,334 OAK ST Waterbury Connecticut,Connecticut,Lead,MF,CT1510011,Waterbury Water Department
