SITE ID,LOCATION IDENTIFIER,STREET ADDRESS,TOWN,merged address,STATE,ENTIRE SERVICE LINE MATERIAL CLASSIFICATION,BUILDING TYPE,PWSID,SYSTEM NAME,lat,long
117278,021801850085,875 North Main St,Waterbury,875 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5646503,-73.0306385
117288,021801850086,885 North Main St,Waterbury,885 North Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5649734,-73.0312312
117308,021801850088,907 North Main St,Waterbury,907 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5649784,-73.0302977
117388,021801860096,116 Easton Ave,Waterbury,116 Easton Ave Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.566089,-73.0304368
117468,021801860104,963 North Main St,Waterbury,963 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5656537,-73.0298368
117488,021801860106,975 North Main St,Waterbury,975 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5657947,-73.0297494
117498,021801860107,981 North Main St,Waterbury,981 North Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5656136,-73.0296531
117868,021801890034,109 Easton Ave,Waterbury,109 Easton Ave Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5662117,-73.0309102
117918,021801900121,958 North Main St,Waterbury,958 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5654049,-73.0294173
117928,021801900122,954 North Main St,Waterbury,954 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5652544,-73.0293969
117958,021801900125,920 North Main St,Waterbury,920 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5649234,-73.029771
117968,021801900126,910 North Main St,Waterbury,910 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5647983,-73.0298243
117978,021801900127,898 North Main St,Waterbury,898 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5647018,-73.0300032
118118,021801910112,1002 North Main St,Waterbury,1002 North Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5660287,-73.0288992
12188,006002540004,2855 North Main St,Waterbury,2855 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5943951,-73.0266255
12198,006002540005,2861 North Main St,Waterbury,2861 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5941934,-73.026765
12208,006002540006,2869 North Main St,Waterbury,2869 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5944043,-73.0267676
12218,006002540007,2877 North Main St,Waterbury,2877 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5946009,-73.026727
12228,006002540008,2881 North Main St,Waterbury,2881 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5948017,-73.0267737
12308,006002540122,2917 North Main St,Waterbury,2917 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5957056,-73.0267256
12318,006002540123,2925 North Main St,Waterbury,2925 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5958594,-73.026832
124478,023105260049,131 Revere St Ext,Waterbury,131 Revere St Ext Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,,
124518,023105260053,111 Revere St,Waterbury,111 Revere St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.563233,-73.0639648
129648,023601651251,549 North Main St,Waterbury,549 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5611576,-73.0341378
131008,023601760172,32 Hawkins St,Waterbury,32 Hawkins St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5611281,-73.0371723
131028,023601760174,10 - 12 Pearl St,Waterbury,10 - 12 Pearl St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5636811,-73.0380788
131048,023601760176,18 Pearl St,Waterbury,18 Pearl St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.561526,-73.0373271
131058,023601760177,22 Pearl St,Waterbury,22 Pearl St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5616429,-73.0373419
131068,023601760178,28 Pearl St,Waterbury,28 Pearl St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.561753,-73.0373475
131258,023601770171,28 Hawkins St,Waterbury,28 Hawkins St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.561127,-73.0369608
140338,025200240002,618 West Main St,Waterbury,618 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5581178,-73.0526501
140368,027400070001,21 West Main St,Waterbury,21 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5556789,-73.041326
140518,025200670009,640 West Main St,Waterbury,640 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5582869,-73.0519184
141078,025300540073,380 West Main St,Waterbury,380 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5581432,-73.0470791
141118,025300540077,428 West Main St,Waterbury,428 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5583991,-73.0481385
141498,025300560096,478 West Main St,Waterbury,478 West Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.558401,-73.0490392
141508,025300560097,466 West Main St,Waterbury,466 West Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.558389,-73.0488889
141518,025300560098,460 West Main St,Waterbury,460 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5584437,-73.0486783
141528,025300560099,450 West Main St,Waterbury,450 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5583019,-73.0485734
141588,025300570094,496 West Main St,Waterbury,496 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5585048,-73.049446
141598,025300570095,490 West Main St,Waterbury,490 West Main St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5583202,-73.049362
142298,025400020531,171 North Main St,Waterbury,171 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5579999,-73.0394002
143738,025501640079,24 Adams St,Waterbury,24 Adams St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5612864,-73.0369868
143928,025501660147,474 North Main St,Waterbury,474 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5601977,-73.0344936
143948,025501660149,496 North Main St,Waterbury,496 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5604703,-73.0343647
146358,025705530132,71 Oak St,Waterbury,71 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5593644,-73.0237234
147778,025705790133,72 Oak St,Waterbury,72 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5593305,-73.0240877
147788,025705790134,68 Oak St,Waterbury,68 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5594313,-73.0241418
148248,025705790180,76 Oak St,Waterbury,76 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5592214,-73.0240571
148258,025705790181,80 Oak St,Waterbury,80 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5590928,-73.0240329
148268,025705800204,106 Oak St,Waterbury,106 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5584539,-73.0238586
148278,025705800205,104 Oak St,Waterbury,104 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.558495,-73.0238687
148288,025705800206,102 Oak St,Waterbury,102 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5585346,-73.023892
148308,025705800208,98 Oak St,Waterbury,98 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5586242,-73.0239009
148338,025705800211,92 Oak St,Waterbury,92 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5587523,-73.0239445
148348,025705800212,90 Oak St,Waterbury,90 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5587956,-73.0239514
148358,025705800213,88 Oak St,Waterbury,88 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.558839,-73.023964
148368,025705800214,86 Oak St,Waterbury,86 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5588826,-73.0239764
149048,025705830280,121 Oak St,Waterbury,121 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5580358,-73.0232707
149058,025705830281,113 Oak St,Waterbury,113 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5582037,-73.0233183
149068,025705830282,101 Oak St,Waterbury,101 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5585365,-73.023407
149078,025705830283,95 Oak St,Waterbury,95 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5586595,-73.0234407
149138,025705830289,152 Beech St,Waterbury,152 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5581038,-73.0225714
149158,025705832891,50 Ash St,Waterbury,50 Ash St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.558292,-73.0227311
149968,025805840001,157 Beech St,Waterbury,157 Beech St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5580362,-73.0220798
149978,025805840002,151 Beech St,Waterbury,151 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5582046,-73.0221444
149988,025805840003,139 Beech St,Waterbury,139 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5583909,-73.0221678
155978,027100250088,990 West Main St,Waterbury,990 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5578017,-73.0572032
156128,027100260017,1050 West Main St,Waterbury,1050 West Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5574134,-73.0599512
157128,027200220023,649 West Main St,Waterbury,649 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5575943,-73.0510131
157168,027200240012,718 West Main St,Waterbury,718 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5578203,-73.0534978
157308,027300170038,283 West Main St,Waterbury,283 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5570516,-73.0459269
157398,027300180031,389 Meadow St,Waterbury,389 Meadow St Waterbury Connecticut,Connecticut,Lead,Other,Ct1510011,Waterbury Water Department,41.5554372,-73.0472535
157788,027400020025,95 North Main St,Waterbury,95 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5566874,-73.0403808
157818,027400020029,161 North Main St,Waterbury,161 North Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5578958,-73.0395559
157838,027400030010,130 West Main St,Waterbury,130 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5573095,-73.0426735
158078,027400070061,41 West Main St,Waterbury,41 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5558108,-73.0419433
158358,027400140048,26 North Main St,Waterbury,26 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5562791,-73.0403726
158488,027400150041,99 East Main St,Waterbury,99 East Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.555915,-73.0390083
161578,027700960165,224 Oak St,Waterbury,224 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5553168,-73.0241985
161628,027700960170,220 Oak St,Waterbury,220 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5551069,-73.0240559
161658,027700970172,213 Oak St,Waterbury,213 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5554921,-73.0236975
161668,027700970173,209 Oak St,Waterbury,209 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5556009,-73.0236532
16208,006902390003,2840 North Main St,Waterbury,2840 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5935651,-73.0263702
16218,006902390004,2834 North Main St,Waterbury,2834 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5933985,-73.0264249
16228,006902390005,2828 North Main St,Waterbury,2828 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5932276,-73.0264744
16238,006902390006,2822 North Main St,Waterbury,2822 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5931027,-73.02661
162428,027705820124,190 Oak St,Waterbury,190 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5563482,-73.024001
162438,027705820125,178 Oak St,Waterbury,178 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5564583,-73.023984
162448,027705820126,170 Oak St,Waterbury,170 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5565926,-73.0239201
162458,027705820127,166 Oak St,Waterbury,166 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5567464,-73.0239025
162478,027705820129,158 Oak St,Waterbury,158 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5570055,-73.0238274
162488,027705820130,154 Oak St,Waterbury,154 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5571313,-73.0238003
16248,006902390007,2812 North Main St,Waterbury,2812 North Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5928458,-73.0265581
162498,027705820131,150 Oak St,Waterbury,150 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5573084,-73.0238396
162508,027705820132,144 Oak St,Waterbury,144 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.557422,-73.0236978
162518,027705820133,138 Oak St,Waterbury,138 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5576391,-73.0237013
162538,027705820135,122 Oak St,Waterbury,122 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5579302,-73.0237344
162718,027705830138,143 Oak St,Waterbury,143 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5574798,-73.0232389
162738,027705830140,151 Oak St,Waterbury,151 Oak St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5572052,-73.0232821
162748,027705830141,155 Oak St,Waterbury,155 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.557048,-73.0231891
162758,027705830142,161 Oak St,Waterbury,161 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5569247,-73.0233771
162788,027705830146,172 Beech St,Waterbury,172 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5575761,-73.0224088
16278,006902530001,2817 North Main St,Waterbury,2817 North Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5931818,-73.0277085
162798,027705830147,178 Beech St,Waterbury,178 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5572543,-73.0223184
162808,027705830148,184 Beech St,Waterbury,184 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.55758,-73.0223564
162858,027705831451,156 Beech St,Waterbury,156 Beech St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.557924,-73.0225487
163408,027706030162,191 Oak St,Waterbury,191 Oak St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5561288,-73.0235217
163568,027805840014,185 Beech St,Waterbury,185 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5572424,-73.0219193
163578,027805840015,175 Beech St,Waterbury,175 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5575538,-73.0219972
163588,027805840016,163 Beech St,Waterbury,163 Beech St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5578446,-73.0221001
17478,007509850017,17 Ashford St,Waterbury,17 Ashford St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5896492,-73.0459792
17488,007509850018,19 Ashford St,Waterbury,19 Ashford St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5896452,-73.0457519
175198,029000420092,1201 West Main St,Waterbury,1201 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5529311,-73.0625623
175208,029000420093,1243 West Main St,Waterbury,1243 West Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5524518,-73.0633906
175238,029000430076,1157 West Main St,Waterbury,1157 West Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5541741,-73.0613612
175248,029000430077,1163 West Main St,Waterbury,1163 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5540232,-73.0614445
175258,029000430078,1167 West Main St,Waterbury,1167 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.553947,-73.0615579
175268,029000430079,1171 West Main St,Waterbury,1171 West Main St Waterbury Connecticut,Connecticut,Lead,Multi-Family Residence,Ct1510011,Waterbury Water Department,41.5538493,-73.0616573
17548,007509850024,35 Harvard St,Waterbury,35 Harvard St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5892253,-73.0455342
177148,029400120103,115 South Main St,Waterbury,115 South Main St Waterbury Connecticut,Connecticut,Lead,Single-Family Residence,Ct1510011,Waterbury Water Department,41.5543861,-73.0401083
177258,039203000001,952 South Main St,Waterbury,952 South Main St Waterbury Connecticut,Connecticut,Lead,"Nonresidential, Non-School, Non-Daycare",Ct1510011,Waterbury Water Department,41.5434841,-73.0380294
